;;;;;;;;;;;;;;;;;;
;15;105;157;3;101;156;16;4;1;1;3;1;3;6;1;-1;-1;-1
;4;104;156;2;100;1;0;0;0;5;2;1;2;5;1;-1;-1;-1
;17;44;142;3;8;156;6;103;166;7;7;158;3;8;156;-1;-1;-1
;7;7;158;8;10;1;1;102;159;8;9;1;17;44;142;-1;-1;-1
;1;16;158;10;11;1;6;13;1;10;107;165;19;45;1;-1;-1;-1
;11;17;158;9;12;157;6;15;1;1;106;166;5;14;1;-1;-1;-1
;12;21;157;18;46;158;13;22;1;5;24;1;1;19;159;-1;-1;-1
;13;20;1;13;23;1;11;25;159;5;18;1;0;0;0;-1;-1;-1
;15;49;1;15;109;1;5;27;1;21;48;1;20;47;1;8;26;1
;7;28;1;7;108;156;10;29;1;21;48;1;0;0;0;5;27;1
;5;36;1;12;31;1;13;32;1;12;111;156;6;34;1;2;37;159
;6;34;1;4;30;1;8;33;1;10;110;165;13;32;1;10;35;1
;8;41;157;14;42;1;8;41;157;4;39;158;11;40;157;14;42;1
;4;39;158;14;43;157;9;38;157;11;40;157;9;38;157;14;43;157
